question,answer,description
"What is the world's most expensive spice by weight?","Saffron","Harvested from the crocus flower."
"Which spice comes from the bark of a tree?","Cinnamon","Native to Sri Lanka."
"What is the pungent compound found in chili peppers?","Capsaicin","It triggers the sensation of heat."
"Which spice is known as the 'King of Spices'?","Black Pepper","Historically highly valued as a commodity."
"What is the main spice in yellow curry?","Turmeric","Also known for its anti-inflammatory properties."
"Which spice consists of dried unexpanded flower buds?","Cloves","Indigenous to the Maluku Islands."
"What is the seed of the fruit from a nutmeg tree?","Nutmeg","The outer covering is called mace."
"Which aromatic seed is used in pumpernickel bread?","Caraway","A member of the parsley family."
"What is the cross between a clove and a cinnamon?","Allspice","Named because it tastes like a combination of spices."
"Which spice is derived from an orchid?","Vanilla","The pods must be cured to develop flavor."
