question,answer,description
"Who painted 'Impression, Sunrise', giving the movement its name?","Claude Monet","The term was coined by a critic after seeing this."
"Which Impressionist is known for his scenes of ballet dancers?","Edgar Degas","He focused on movement and backstage life."
"What was the main focus of Impressionist painting?","Light and color;Optical effects","Capturing the fleeting moment."
"Which female artist was a key member of the Impressionists?","Mary Cassatt;Berthe Morisot","Cassatt was an American who lived in France."
"What technique used small, thin brushstrokes?","Impressionism","Avoids sharp lines and black paint."
"Where did Impressionism originate?","France;Paris","The first exhibition was in 1874."
"Who painted 'Le Déjeuner sur l'herbe'?","Édouard Manet;Edouard Manet","A transitional figure between Realism and Impressionism."
"What did Impressionists often paint outdoors?","En plein air;Landscapes","Working outside allowed them to capture natural light."
"Which artist is famous for his many paintings of water lilies?","Claude Monet","His garden at Giverny was his main inspiration."
"Whose work is characterized by vibrant colors and emotional depth?","Vincent van Gogh","He was a Post-Impressionist, but heavily influenced by them."
