question,answer,description
"What is the symbol for Hydrogen?","H","It is the first element in the periodic table."
"What is the chemical symbol for Gold?","Au","From the Latin word 'Aurum'."
"Which gas has the symbol O?","Oxygen","Essential for human respiration."
"What is the atomic number of Carbon?","6","Basis for all known life on Earth."
"Which element has the symbol Na?","Sodium","From the Latin 'Natrium', found in table salt."
"What is the symbol for Silver?","Ag","From the Latin 'Argentum'."
"Which noble gas is used in bright signs?","Neon;Ne","Known for its reddish-orange glow."
"What is the symbol for Iron?","Fe","From the Latin 'Ferrum'."
"Which element is the most abundant in Earth's atmosphere?","Nitrogen;N","Makes up about 78% of the air."
"What is the symbol for Mercury?","Hg","From the Latin 'Hydrargyrum', meaning liquid silver."
