question,answer,description
"What is Newton's First Law also known as?","Law of Inertia","Objects stay at rest or in motion unless acted upon by a force."
"Force equals mass times what?","Acceleration","F = ma"
"For every action, there is an equal and opposite what?","Reaction","This is Newton's Third Law."
"What is the SI unit of force?","Newton;N","Named in honor of Isaac Newton."
"What force pulls objects toward the center of the Earth?","Gravity","Newton formulated the universal law of gravitation."
"What is the term for a change in velocity over time?","Acceleration","It can be a change in speed or direction."
"Which property of an object resists changes in its motion?","Inertia","Mass is a measure of inertia."
"What did Newton supposedly watch fall from a tree?","An apple","This sparked his thinking about gravity."
"What is the tendency of an object to resist a change in motion?","Inertia","Objects with more mass have more inertia."
"What is the value of gravitational acceleration on Earth (approx)?","9.8 m/s^2;9.8","Commonly used in physics calculations."
