question,answer,description
"How do you say 'Hello' in French?","Bonjour","Used primarily during the day."
"What does 'Merci' mean?","Thank you","Essential for polite conversation."
"How do you say 'Good evening' in French?","Bonsoir","Used from late afternoon onwards."
"What is the French word for 'Please'?","S'il vous plaît;Sil vous plait","Often added to requests."
"How do you say 'Yes' and 'No' in French?","Oui and Non;Oui;Non","Basic building blocks."
"What is 'Goodbye' in French?","Au revoir","Literal meaning: Until we see each other again."
"How do you say 'Where is the bathroom?'","Où sont les toilettes?;Ou sont les toilettes?","Very important for travelers."
"What does 'Excusez-moi' mean?","Excuse me","Used to get someone's attention."
"What is 'The bill, please' in French?","L'addition s'il vous plaît;Laddition sil vous plait","Used at restaurants."
"How do you say 'I don't understand'?","Je ne comprends pas","Useful when language gets too fast."
