question,answer,description
"Which pasta name means 'little strings' in Italian?","Spaghetti","The most iconic long, thin pasta."
"What is 'Penne' named after?","Quills;Pens","Due to its diagonal cut ends."
"Which flat, wide pasta is often used for layered dishes?","Lasagne;Lasagna","The singular is technically 'lasagna' but the dish is 'lasagne'."
"What is the hollow, tube-shaped pasta that means 'twists'?","Fusilli","Great for holding thick sauces."
"Which pasta is shaped like little ears?","Orecchiette","Typical of the Puglia region."
"What does 'Al dente' mean?","To the tooth","The perfect texture: firm but not hard."
"What is the main ingredient of traditional gnocchi?","Potato","They are small dumplings."
"Which pasta is often served with Pesto Genovese?","Trofie","A twisted shape from Liguria."
"What is the name for the 'little bells' pasta?","Campanelle","Also known as gigli."
"Which pasta is shaped like large shells?","Conchiglioni","Often stuffed with ricotta and spinach."
