question,answer,description
"Who was the first emperor of Rome?","Augustus;Octavian","He was the grand-nephew of Julius Caesar."
"In what year did the Western Roman Empire fall?","476","Romulus Augustulus was deposed by Odoacer."
"Which Roman Emperor built a famous wall across northern Britain?","Hadrian","Hadrian's Wall marked the northern limit of the empire."
"Who was the famous Carthaginian general who invaded Italy with elephants?","Hannibal","He crossed the Alps during the Second Punic War."
"Which volcano destroyed Pompeii in 79 AD?","Mount Vesuvius","The eruption buried the city in ash."
"What was the main language of the Roman Empire?","Latin","It is the ancestor of the Romance languages."
"Who were the legendary founders of Rome?","Romulus and Remus","Romulus killed Remus and became the first king."
"What was the name of the stadium in Rome used for gladiator fights?","Colosseum;Flavian Amphitheatre","It could hold up to 50,000 spectators."
"Which Roman general was assassinated on the Ides of March?","Julius Caesar","He was killed by a group of senators, including Brutus."
"What was the Roman peace that lasted for about 200 years?","Pax Romana","It was a period of relative stability and prosperity."
