question,answer,rubi,choices,description
"世界で最も売れたビデオゲーム機は何？（2024年時点）","PlayStation 2","ぷれいすてーしょんつー","Nintendo Switch;Wii;PlayStation 4","PS2は累計1億5500万台以上を販売しました。"
"『ONE PIECE』の主人公、ルフィが食べた悪魔の実の名前は？","ゴムゴムの実","ごむごむのみ","メラメラの実;ハナハナの実;ヒトヒトの実","体がゴムのように伸び縮みするようになる能力です。後に別の名前も判明します。"
"『千と千尋の神隠し』の監督は誰？","宮崎駿","みやざきはやお","新海誠;細田守;庵野秀明","スタジオジブリを代表するアニメーション映画作家です。"
"スタジオジブリの映画『となりのトトロ』に登場する、子供のときだけ会える不思議な生き物は？","トトロ","ととろ","ネコバス;まっくろくろすけ;ポニョ","森の主であり、大きな体が特徴です。"
"世界最大の動画共有プラットフォームは何？","YouTube","ゆーちゅーぶ","TikTok;Netflix;Instagram","Googleが運営する世界最大の動画サイトです。"
"『鬼滅の刃』の主人公、竈門炭治郎が使う呼吸の流派は？","水の呼吸","みずのこきゅう","雷の呼吸;獣の呼吸;炎の呼吸","鱗滝左近次のもとで修行して習得しました。"
"日本の大人気RPGシリーズで、スライムがマスコットキャラクターなのは？","ドラゴンクエスト","どらごんくえすと","ファイナルファンタジー;ポケットモンスター;テイルズオブ","堀井雄二、鳥山明、すぎやまこういちが手掛けた名作シリーズです。"
"『名探偵コナン』の主人公、江戸川コナンの正体は誰？","工藤新一","くどうしんいち","服部平次;怪盗キッド;安室透","謎の組織によって毒薬を飲まされ、体が小さくなってしまいました。"
"「マリオシリーズ」に登場するマリオの弟の名前は？","ルイージ","るいーじ","ワリオ;ヨッシー;ピーチ","緑色の帽子と服がトレードマークの弟です。"
"2023年に公開され、世界中で記録的なヒットとなった任天堂の映画は？","ザ・スーパーマリオブラザーズ・ムービー","ざ・すーぱーまりおぶらざーず・むーびー","ピカチュウ;ソニック;星のカービィ","任天堂とイルミネーションが共同製作したCGアニメ作品です。"
