question,answer,description
"Which warlord was the first to unify most of Japan?","Oda Nobunaga","He was betrayed by Akechi Mitsuhide at Honno-ji."
"Who completed the unification of Japan?","Toyotomi Hideyoshi","He rose from a lower-class background to become the ruler of Japan."
"Which battle in 1600 decided the ruler of Japan?","Battle of Sekigahara","Tokugawa Ieyasu emerged victorious."
"Who established the Edo Shogunate?","Tokugawa Ieyasu","The shogunate lasted until the Meiji Restoration."
"What was the name of his famous castle in Osaka?","Osaka Castle","It was significantly damaged during the Siege of Osaka."
"What was the code of the samurai?","Bushido","It emphasizes honor, loyalty, and discipline."
"Who was the famous pirate/admiral associated with Hideyoshi?","Kuki Yoshitaka","He commanded the 'Atakebune' ships."
"Which clan was defeated at Sekigahara?","Ishida Mitsunari;Western Army","Ishida Mitsunari led the coalition against Ieyasu."
"What was the term for a masterless samurai?","Ronin","They often became mercenaries or teachers."
"Which Sengoku warlord was known as the 'Tiger of Kai'?","Takeda Shingen","He was famous for his rivalry with Uesugi Kenshin."
