question,answer,description
"What are the three primary colors in the RYB model?","Red, Yellow, Blue;Red;Yellow;Blue","Basis for traditional color theory."
"What color is created by mixing red and blue?","Purple;Violet","A secondary color in the RYB model."
"What is the term for colors opposite each other on the color wheel?","Complementary colors","They create high contrast when placed together."
"What are the additive primary colors (light)?","Red, Green, Blue;RGB","Used in television and computer screens."
"What color model is used for printing?","CMYK","Cyan, Magenta, Yellow, and Key (Black)."
"What is 'Hue'?","The name of a color;Color name","Red, Blue, Green, etc. are hues."
"What refers to the lightness or darkness of a color?","Value","Adding white creates a tint, adding black creates a shade."
"What refers to the intensity or purity of a color?","Saturation;Chroma","High saturation colors are 'vivid'."
"Which colors are considered 'warm'?","Red, Orange, Yellow;Red;Orange;Yellow","Associated with heat and sun."
"Which colors are considered 'cool'?","Blue, Green, Purple;Blue;Green;Purple","Associated with water and ice."
